osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3818522,120,10202,Bankim,AD,BKM,4853505,bankim,CM-AD-Bankim,,"{""area_sr"": 0.19958, ""area_km2"": 2442, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 49.4, ""side_estim_deg"": 0.4467, ""elongation_factor"": 2.11}"
3818503,120,10201,Banyo,AD,BYO,520600,banyo,CM-AD-Banyo,,"{""area_sr"": 0.4144, ""area_km2"": 5066, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 71.2, ""side_estim_deg"": 0.6437, ""elongation_factor"": 2.11}"
3817731,120,10103,Bélel,AD,BLL,4882158,belel,CM-AD-Belel,,"{""area_sr"": 0.16578, ""area_km2"": 2026, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 45, ""side_estim_deg"": 0.4072, ""elongation_factor"": 2.4}"
3816520,120,10302,Dir,AD,DIR,23012983,dir,CM-AD-Dir,,"{""area_sr"": 0.4044, ""area_km2"": 4948, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 70.3, ""side_estim_deg"": 0.6359, ""elongation_factor"": 2.11}"
3765796,120,10303,Djohong,AD,DJG,5285362,djohong,CM-AD-Djohong,,"{""area_sr"": 0.20243, ""area_km2"": 2474, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 49.7, ""side_estim_deg"": 0.4499, ""elongation_factor"": 2.35}"
3818437,120,10503,Galim-Tignère,AD,GLT,,galim.tignere,CM-AD-GalimTignere,,"{""area_sr"": 0.14779, ""area_km2"": 1805, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 42.5, ""side_estim_deg"": 0.3844, ""elongation_factor"": 2.1}"
3817929,120,10504,Kontcha,AD,KCH,6430329,kontcha,CM-AD-Kontcha,,"{""area_sr"": 0.03218, ""area_km2"": 392, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 19.8, ""side_estim_deg"": 0.1794, ""elongation_factor"": 1.66}"
3817796,120,10104,Martap,AD,MAR,23013059,martap,CM-AD-Martap,,"{""area_sr"": 0.3804, ""area_km2"": 4646, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 68.2, ""side_estim_deg"": 0.6168, ""elongation_factor"": 2.11}"
3818074,120,10502,Mayo-Baléo,AD,MEO,,mayo.baleo,CM-AD-MayoBaleo,,"{""area_sr"": 0.29308, ""area_km2"": 3576, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 59.8, ""side_estim_deg"": 0.5414, ""elongation_factor"": 1.7}"
3818548,120,10203,Mayo-Darlé,AD,MDE,,mayo.darle,CM-AD-MayoDarle,,"{""area_sr"": 0.07897, ""area_km2"": 966, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.1, ""side_estim_deg"": 0.281, ""elongation_factor"": 1.79}"
3817804,120,10102,Mbé,AD,MBE,,mbe,CM-AD-Mbe,,"{""area_sr"": 0.142, ""area_km2"": 1732, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 41.6, ""side_estim_deg"": 0.3768, ""elongation_factor"": 1.83}"
3816489,120,10301,Meiganga,AD,MEI,2629052,meiganga,CM-AD-Meiganga,,"{""area_sr"": 0.55209, ""area_km2"": 6754, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 82.2, ""side_estim_deg"": 0.743, ""elongation_factor"": 1.74}"
3817732,120,10107,Ngan'ha,AD,NHA,14944570,nganha,CM-AD-Nganha,,"{""area_sr"": 0.16969, ""area_km2"": 2071, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 45.5, ""side_estim_deg"": 0.4119, ""elongation_factor"": 2.11}"
3765799,120,10304,Ngaoui,AD,NGO,,ngaoui,CM-AD-Ngaoui,,"{""area_sr"": 0.02181, ""area_km2"": 267, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.3, ""side_estim_deg"": 0.1477, ""elongation_factor"": 1.85}"
3818561,120,10402,Ngaoundal,AD,NDL,7022029,ngaoundal,CM-AD-Ngaoundal,,"{""area_sr"": 0.3022, ""area_km2"": 3698, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 60.8, ""side_estim_deg"": 0.5497, ""elongation_factor"": 2.1}"
3817842,120,10101,"Ngaoundéré 1",AD,NG1,,ngaoundere.1,CM-AD-Ngaoundere1,,"{""area_sr"": 0.02658, ""area_km2"": 325, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18, ""side_estim_deg"": 0.163, ""elongation_factor"": 1.83}"
3817843,120,10105,"Ngaoundéré 2",AD,NG2,,ngaoundere.2,CM-AD-Ngaoundere2,,"{""area_sr"": 0.02092, ""area_km2"": 255, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16, ""side_estim_deg"": 0.1446, ""elongation_factor"": 1.54}"
3817844,120,10106,"Ngaoundéré 3",AD,NG3,,ngaoundere.3,CM-AD-Ngaoundere3,,"{""area_sr"": 0.01943, ""area_km2"": 237, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 15.4, ""side_estim_deg"": 0.1394, ""elongation_factor"": 1.4}"
3817738,120,10108,Nyambaka,AD,NBK,7070841,nyambaka,CM-AD-Nyambaka,,"{""area_sr"": 0.47976, ""area_km2"": 5863, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 76.6, ""side_estim_deg"": 0.6927, ""elongation_factor"": 2.07}"
3818562,120,10401,Tibati,AD,TIB,2005262,tibati,CM-AD-Tibati,,"{""area_sr"": 0.78488, ""area_km2"": 9600, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 98, ""side_estim_deg"": 0.8859, ""elongation_factor"": 1.81}"
3818120,120,10501,Tignère,AD,TIG,1987701,tignere,CM-AD-Tignere,,"{""area_sr"": 0.39698, ""area_km2"": 4847, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 69.6, ""side_estim_deg"": 0.6301, ""elongation_factor"": 2.1}"
