osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3822423,120,20905,Afanloum,CE,AFA,4688799,afanloum,CM-CE-Afanloum,,"{""area_sr"": 0.02061, ""area_km2"": 253, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1436, ""elongation_factor"": 1.38}"
3462085,120,21002,Akono,CE,AKN,4701537,akono,CM-CE-Akono,,"{""area_sr"": 0.01512, ""area_km2"": 186, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.123, ""elongation_factor"": 1.94}"
3822397,120,20401,Akonolinga,CE,AKL,2829121,akonolinga,CM-CE-Akonolinga,,"{""area_sr"": 0.23227, ""area_km2"": 2853, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 53.4, ""side_estim_deg"": 0.4819, ""elongation_factor"": 3.29}"
3822889,120,20504,Akoéman,CE,AKM,,akoeman,CM-CE-Akoeman,,"{""area_sr"": 0.05403, ""area_km2"": 664, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.8, ""side_estim_deg"": 0.2324, ""elongation_factor"": 1.08}"
3822512,120,20903,Awaé,CE,AWA,2874674,awae,CM-CE-Awae,,"{""area_sr"": 0.04333, ""area_km2"": 532, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.1, ""side_estim_deg"": 0.2082, ""elongation_factor"": 2.01}"
3822361,120,20402,Ayos,CE,AYO,4831578,ayos,CM-CE-Ayos,,"{""area_sr"": 0.13422, ""area_km2"": 1648, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 40.6, ""side_estim_deg"": 0.3664, ""elongation_factor"": 2.16}"
3823192,120,20701,Bafia,CE,BAI,799790,bafia,CM-CE-Bafia,,"{""area_sr"": 0.01953, ""area_km2"": 240, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1397, ""elongation_factor"": 1.2}"
3823028,120,20608,Batchenga,CE,BNA,4868730,batchenga,CM-CE-Batchenga,,"{""area_sr"": 0.01914, ""area_km2"": 235, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.3, ""side_estim_deg"": 0.1384, ""elongation_factor"": 1.5}"
3822274,120,20305,Bibey,CE,BIB,,bibey,CM-CE-Bibey,,"{""area_sr"": 0.10086, ""area_km2"": 1237, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 35.2, ""side_estim_deg"": 0.3176, ""elongation_factor"": 2.29}"
3822908,120,21004,Bikok,CE,BKK,4907428,bikok,CM-CE-Bikok,,"{""area_sr"": 0.03697, ""area_km2"": 454, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.3, ""side_estim_deg"": 0.1923, ""elongation_factor"": 2.53}"
3823521,120,20208,Biyouha,CE,BIY,12684052,biyouha,CM-CE-Biyouha,,"{""area_sr"": 0.01667, ""area_km2"": 205, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.3, ""side_estim_deg"": 0.1291, ""elongation_factor"": 1.89}"
3823213,120,20702,Bokito,CE,BOK,2090268,bokito,CM-CE-Bokito,,"{""area_sr"": 0.12271, ""area_km2"": 1506, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 38.8, ""side_estim_deg"": 0.3503, ""elongation_factor"": 1.74}"
3823422,120,20209,Bondjock,CE,BDK,4941421,bondjock,CM-CE-Bondjock,,"{""area_sr"": 0.02312, ""area_km2"": 284, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.9, ""side_estim_deg"": 0.152, ""elongation_factor"": 1.55}"
3823437,120,20203,Bot-Makak,CE,BMK,,bot.makak,CM-CE-BotMakak,,"{""area_sr"": 0.03816, ""area_km2"": 469, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.6, ""side_estim_deg"": 0.1953, ""elongation_factor"": 2.46}"
3823178,120,20705,Deuk,CE,DUK,5266150,deuk,CM-CE-Deuk,,"{""area_sr"": 0.11797, ""area_km2"": 1447, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 38, ""side_estim_deg"": 0.3435, ""elongation_factor"": 1.75}"
3823495,120,20207,Dibang,CE,DAG,12685725,dibang,CM-CE-Dibang,,"{""area_sr"": 0.03796, ""area_km2"": 466, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.6, ""side_estim_deg"": 0.1948, ""elongation_factor"": 2.15}"
3822623,120,20502,Dzeng,CE,DZE,3042188,dzeng,CM-CE-Dzeng,,"{""area_sr"": 0.06181, ""area_km2"": 759, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 27.6, ""side_estim_deg"": 0.2486, ""elongation_factor"": 1.88}"
3823019,120,20605,Ebebda,CE,EBE,5331585,ebebda,CM-CE-Ebebda,,"{""area_sr"": 0.01774, ""area_km2"": 218, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.8, ""side_estim_deg"": 0.1332, ""elongation_factor"": 1.64}"
3388140,120,20907,Edzendouan,CE,EDZ,5346992,edzendouan,CM-CE-Edzendouan,,"{""area_sr"": 0.03288, ""area_km2"": 404, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.1, ""side_estim_deg"": 0.1813, ""elongation_factor"": 1.51}"
3823024,120,20606,Elig-Mfomo,CE,ELM,,elig.mfomo,CM-CE-EligMfomo,,"{""area_sr"": 0.01654, ""area_km2"": 203, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.3, ""side_estim_deg"": 0.1286, ""elongation_factor"": 1.72}"
3822403,120,20403,Endom,CE,END,5376357,endom,CM-CE-Endom,,"{""area_sr"": 0.06823, ""area_km2"": 838, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29, ""side_estim_deg"": 0.2612, ""elongation_factor"": 2.32}"
3822419,120,20902,Esse,CE,ESS,5399420,esse,CM-CE-Esse,,"{""area_sr"": 0.06831, ""area_km2"": 839, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29, ""side_estim_deg"": 0.2614, ""elongation_factor"": 1.62}"
3822995,120,20604,Evodoula,CE,EVO,5418557,evodoula,CM-CE-Evodoula,,"{""area_sr"": 0.015, ""area_km2"": 184, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1225, ""elongation_factor"": 2.17}"
16560509,120,20707,Kiiki,CE,KII,3196512,kiiki,CM-CE-Kiiki,,"{""area_sr"": 0.01857, ""area_km2"": 228, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.1, ""side_estim_deg"": 0.1363, ""elongation_factor"": 2.23}"
3822362,120,20404,Kobdombo,CE,KOB,,kobdombo,CM-CE-Kobdombo,,"{""area_sr"": 0.0231, ""area_km2"": 284, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.8, ""side_estim_deg"": 0.152, ""elongation_factor"": 1.69}"
3823205,120,20708,Kon-Yambetta,CE,KYA,6428681,kon.yambetta,CM-CE-KonYambetta,,"{""area_sr"": 0.02831, ""area_km2"": 347, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.6, ""side_estim_deg"": 0.1682, ""elongation_factor"": 1.77}"
3822301,120,20306,"Lembe Yezoum",CE,LEM,,lembe.yezoum,CM-CE-LembeYezoum,,"{""area_sr"": 0.08305, ""area_km2"": 1019, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.9, ""side_estim_deg"": 0.2882, ""elongation_factor"": 1.97}"
3822969,120,20609,Lobo,CE,LOB,6663731,lobo,CM-CE-Lobo,,"{""area_sr"": 0.02462, ""area_km2"": 302, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.4, ""side_estim_deg"": 0.1569, ""elongation_factor"": 1.72}"
