osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3748051,120,40206,Blangoua,EN,BLA,4925100,blangoua,CM-EN-Blangoua,,"{""area_sr"": 0.01861, ""area_km2"": 224, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 15, ""side_estim_deg"": 0.1364, ""elongation_factor"": 3.11}"
3750726,120,40103,Bogo,EN,BOG,23012952,bogo,CM-EN-Bogo,,"{""area_sr"": 0.08402, ""area_km2"": 1016, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 31.9, ""side_estim_deg"": 0.2899, ""elongation_factor"": 1.3}"
3750070,120,40602,Bourha,EN,BOU,,bourha,CM-EN-Bourha,,"{""area_sr"": 0.05671, ""area_km2"": 687, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 26.2, ""side_estim_deg"": 0.2381, ""elongation_factor"": 2.29}"
3748033,120,40209,Darak,EN,DAK,,darak,CM-EN-Darak,,"{""area_sr"": 0.15628, ""area_km2"": 1877, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 43.3, ""side_estim_deg"": 0.3953, ""elongation_factor"": 2.64}"
3750760,120,40108,Dargala,EN,DAR,961662,dargala,CM-EN-Dargala,,"{""area_sr"": 0.03211, ""area_km2"": 389, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 19.7, ""side_estim_deg"": 0.1792, ""elongation_factor"": 1.28}"
3753464,120,40309,Datchéka,EN,DAT,,datcheka,CM-EN-Datcheka,,"{""area_sr"": 0.00988, ""area_km2"": 120, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 10.9, ""side_estim_deg"": 0.0994, ""elongation_factor"": 1.31}"
3753193,120,40407,Dziguilao,EN,DZI,,dziguilao,CM-EN-Dziguilao,,"{""area_sr"": 0.02698, ""area_km2"": 327, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 18.1, ""side_estim_deg"": 0.1642, ""elongation_factor"": 1.25}"
3748148,120,40207,Fotokol,EN,FOT,,fotokol,CM-EN-Fotokol,,"{""area_sr"": 0.03038, ""area_km2"": 365, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 19.1, ""side_estim_deg"": 0.1743, ""elongation_factor"": 2.28}"
3750887,120,40104,Gazawa,EN,GAS,,gazawa,CM-EN-Gazawa,,"{""area_sr"": 0.01559, ""area_km2"": 189, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 13.7, ""side_estim_deg"": 0.1248, ""elongation_factor"": 1.68}"
3753446,120,40308,Gobo,EN,GOB,23013006,gobo,CM-EN-Gobo,,"{""area_sr"": 0.04947, ""area_km2"": 600, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 24.5, ""side_estim_deg"": 0.2224, ""elongation_factor"": 2.04}"
3748190,120,40204,Goulfey,EN,GOU,5588320,goulfey,CM-EN-Goulfey,,"{""area_sr"": 0.13627, ""area_km2"": 1639, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 40.5, ""side_estim_deg"": 0.3691, ""elongation_factor"": 2.45}"
3753202,120,40403,Guidiguis,EN,GGS,12687157,guidiguis,CM-EN-Guidiguis,,"{""area_sr"": 0.03178, ""area_km2"": 385, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 19.6, ""side_estim_deg"": 0.1783, ""elongation_factor"": 1.95}"
3753352,120,40307,Guémé,EN,GME,,gueme,CM-EN-Gueme,,"{""area_sr"": 0.04107, ""area_km2"": 497, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 22.3, ""side_estim_deg"": 0.2027, ""elongation_factor"": 1.49}"
3753373,120,40303,Guéré,EN,GUE,23013009,guere,CM-EN-Guere,,"{""area_sr"": 0.02196, ""area_km2"": 266, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 16.3, ""side_estim_deg"": 0.1482, ""elongation_factor"": 1.7}"
3748063,120,40208,"Hilé - Alifa",EN,HIL,,hile.alifa,CM-EN-HileAlifa,,"{""area_sr"": 0.02263, ""area_km2"": 272, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 16.5, ""side_estim_deg"": 0.1504, ""elongation_factor"": 2.66}"
3750043,120,40604,Hina,EN,HIN,5765546,hina,CM-EN-Hina,,"{""area_sr"": 0.03916, ""area_km2"": 474, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 21.8, ""side_estim_deg"": 0.1979, ""elongation_factor"": 1.2}"
3753306,120,40311,Kai-Kai,EN,KAY,,kai.kai,CM-EN-KaiKai,,"{""area_sr"": 0.06701, ""area_km2"": 811, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 28.5, ""side_estim_deg"": 0.2589, ""elongation_factor"": 1.06}"
3753480,120,40305,Kalfou,EN,KAL,3192173,kalfou,CM-EN-Kalfou,,"{""area_sr"": 0.05948, ""area_km2"": 721, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 26.8, ""side_estim_deg"": 0.2439, ""elongation_factor"": 1.53}"
3753481,120,40302,Kar-Hay,EN,KRY,,kar.hay,CM-EN-KarHay,,"{""area_sr"": 0.02365, ""area_km2"": 287, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 16.9, ""side_estim_deg"": 0.1538}"
3753231,120,40401,Kaélé,EN,KAE,,kaele,CM-EN-Kaele,,"{""area_sr"": 0.10856, ""area_km2"": 1316, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 36.3, ""side_estim_deg"": 0.3295, ""elongation_factor"": 1.45}"
3749358,120,40503,Kolofata,EN,KOL,6427461,kolofata,CM-EN-Kolofata,,"{""area_sr"": 0.05223, ""area_km2"": 631, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2285, ""elongation_factor"": 1.42}"
3748212,120,40201,Kousséri,EN,KER,697662,kousseri,CM-EN-Kousseri,,"{""area_sr"": 0.01155, ""area_km2"": 139, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 11.8, ""side_estim_deg"": 0.1075, ""elongation_factor"": 2.06}"
3749958,120,40603,Koza,EN,KOZ,,koza,CM-EN-Koza,,"{""area_sr"": 0.02996, ""area_km2"": 362, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 19, ""side_estim_deg"": 0.1731, ""elongation_factor"": 2}"
3749162,120,40203,Logone-Birni,EN,LOG,,logone.birni,CM-EN-LogoneBirni,,"{""area_sr"": 0.23234, ""area_km2"": 2801, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 52.9, ""side_estim_deg"": 0.482, ""elongation_factor"": 1.85}"
3753298,120,40304,Maga,EN,MGA,28040583,maga,CM-EN-Maga,,"{""area_sr"": 0.08761, ""area_km2"": 1060, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 32.6, ""side_estim_deg"": 0.296, ""elongation_factor"": 1.05}"
3748162,120,40202,Makary,EN,MAI,,makary,CM-EN-Makary,,"{""area_sr"": 0.0976, ""area_km2"": 1174, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 34.3, ""side_estim_deg"": 0.3124, ""elongation_factor"": 3.11}"
3750791,120,40101,"Maroua 1",EN,MA1,,maroua.1,CM-EN-Maroua1,,"{""area_sr"": 0.03037, ""area_km2"": 368, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1743, ""elongation_factor"": 1.74}"
3750800,120,40106,"Maroua 2",EN,MA2,,maroua.2,CM-EN-Maroua2,,"{""area_sr"": 0.00354, ""area_km2"": 43, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 6.5, ""side_estim_deg"": 0.0595, ""elongation_factor"": 1.29}"
3750761,120,40107,"Maroua 3",EN,MA3,,maroua.3,CM-EN-Maroua3,,"{""area_sr"": 0.06005, ""area_km2"": 726, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 27, ""side_estim_deg"": 0.245, ""elongation_factor"": 2.48}"
3750804,120,40102,Meri,EN,MER,,meri,CM-EN-Meri,,"{""area_sr"": 0.05367, ""area_km2"": 649, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 25.5, ""side_estim_deg"": 0.2317, ""elongation_factor"": 1.45}"
3753283,120,40402,Mindif,EN,MDF,3314784,mindif,CM-EN-Mindif,,"{""area_sr"": 0.08216, ""area_km2"": 995, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 31.5, ""side_estim_deg"": 0.2866, ""elongation_factor"": 1.39}"
3750035,120,40606,Mogodé,EN,MOG,1952049,mogode,CM-EN-Mogode,,"{""area_sr"": 0.04644, ""area_km2"": 562, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2155, ""elongation_factor"": 1.41}"
