osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3820298,120,30301,Abong-Mbang,ES,ABM,,abong.mbang,CM-ES-AbongMbang,,"{""area_sr"": 0.13865, ""area_km2"": 1703, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 41.3, ""side_estim_deg"": 0.3724, ""elongation_factor"": 1.75}"
3820308,120,30308,Angossas,ES,ANG,,angossas,CM-ES-Angossas,,"{""area_sr"": 0.03302, ""area_km2"": 405, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.1, ""side_estim_deg"": 0.1817, ""elongation_factor"": 2.09}"
3820289,120,30309,Atok,ES,ATO,4817170,atok,CM-ES-Atok,,"{""area_sr"": 0.07156, ""area_km2"": 879, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.6, ""side_estim_deg"": 0.2675, ""elongation_factor"": 2.07}"
3818814,120,30401,Batouri,ES,NUI,673185,batouri,CM-ES-Batouri,,"{""area_sr"": 0.30171, ""area_km2"": 3703, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 60.9, ""side_estim_deg"": 0.5493, ""elongation_factor"": 1.87}"
3070345,120,30101,"Bertoua 1",ES,BE1,,bertoua.1,CM-ES-Bertoua1,,"{""area_sr"": 0.01348, ""area_km2"": 165, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1161, ""elongation_factor"": 2.18}"
3070346,120,30106,"Bertoua 2",ES,BE2,,bertoua.2,CM-ES-Bertoua2,,"{""area_sr"": 0.00742, ""area_km2"": 91, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 9.5, ""side_estim_deg"": 0.0862, ""elongation_factor"": 1.89}"
3818690,120,30103,Bélabo,ES,BLO,2929807,belabo,CM-ES-Belabo,,"{""area_sr"": 0.542, ""area_km2"": 6646, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 81.5, ""side_estim_deg"": 0.7362, ""elongation_factor"": 1.52}"
3818684,120,30102,Bétaré-Oya,ES,BEO,,betare.oya,CM-ES-BetareOya,,"{""area_sr"": 0.9594, ""area_km2"": 11754, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 108.4, ""side_estim_deg"": 0.9795, ""elongation_factor"": 1.89}"
3818697,120,30105,Diang,ES,DNG,5271638,diang,CM-ES-Diang,,"{""area_sr"": 0.0674, ""area_km2"": 827, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 28.8, ""side_estim_deg"": 0.2596, ""elongation_factor"": 1.7}"
3820341,120,30306,Dimako,ES,DKO,1100817,dimako,CM-ES-Dimako,,"{""area_sr"": 0.05916, ""area_km2"": 726, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 26.9, ""side_estim_deg"": 0.2432, ""elongation_factor"": 1.45}"
3820315,120,30310,Doumaintang,ES,DOU,,doumaintang,CM-ES-Doumaintang,,"{""area_sr"": 0.15571, ""area_km2"": 1912, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 43.7, ""side_estim_deg"": 0.3946, ""elongation_factor"": 1.56}"
3820342,120,30302,Doumé,ES,DME,5302264,doume,CM-ES-Doume,,"{""area_sr"": 0.09816, ""area_km2"": 1205, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.7, ""side_estim_deg"": 0.3133, ""elongation_factor"": 1.66}"
3819360,120,30203,Gari-Gombo,ES,GRG,,gari.gombo,CM-ES-GariGombo,,"{""area_sr"": 0.24435, ""area_km2"": 3002, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 54.8, ""side_estim_deg"": 0.4943, ""elongation_factor"": 2.02}"
3818685,120,30104,Garoua-Boulaï,ES,GRB,,garoua.boulai,CM-ES-GarouaBoulai,,"{""area_sr"": 0.18061, ""area_km2"": 2212, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 47, ""side_estim_deg"": 0.425, ""elongation_factor"": 2.21}"
3818825,120,30404,Kentzou,ES,KNT,,kentzou,CM-ES-Kentzou,,"{""area_sr"": 0.08212, ""area_km2"": 1008, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.8, ""side_estim_deg"": 0.2866, ""elongation_factor"": 1.77}"
3818807,120,30403,Kétté,ES,KTE,,kette,CM-ES-Kette,,"{""area_sr"": 0.15731, ""area_km2"": 1930, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 43.9, ""side_estim_deg"": 0.3966, ""elongation_factor"": 1.48}"
3820208,120,30303,Lomié,ES,LOM,1027828,lomie,CM-ES-Lomie,,"{""area_sr"": 0.59571, ""area_km2"": 7322, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 85.6, ""side_estim_deg"": 0.7718, ""elongation_factor"": 2.54}"
3818746,120,30107,Mandjou,ES,MOJ,6748103,mandjou,CM-ES-Mandjou,,"{""area_sr"": 0.21525, ""area_km2"": 2641, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 51.4, ""side_estim_deg"": 0.464, ""elongation_factor"": 2.19}"
3819294,120,30405,Mbang,ES,MBG,22680674,mbang,CM-ES-Mbang,,"{""area_sr"": 0.43397, ""area_km2"": 5329, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 73, ""side_estim_deg"": 0.6588, ""elongation_factor"": 1.9}"
3820352,120,30311,Mboma,ES,MMA,14944542,mboma,CM-ES-Mboma,,"{""area_sr"": 0.01591, ""area_km2"": 195, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14, ""side_estim_deg"": 0.1262, ""elongation_factor"": 1.32}"
3820290,120,30304,Messaména,ES,MES,12697742,messamena,CM-ES-Messamena,,"{""area_sr"": 0.25158, ""area_km2"": 3091, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 55.6, ""side_estim_deg"": 0.5016, ""elongation_factor"": 1.54}"
3820190,120,30312,Messock,ES,MSS,6822036,messock,CM-ES-Messock,,"{""area_sr"": 0.21544, ""area_km2"": 2648, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 51.5, ""side_estim_deg"": 0.4642, ""elongation_factor"": 2.23}"
