osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3834327,120,50207,Baré,LT,BRE,2886259,bare,CM-LT-Bare,,"{""area_sr"": 0.01932, ""area_km2"": 237, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.4, ""side_estim_deg"": 0.139, ""elongation_factor"": 1.77}"
3834258,120,50212,Bonaléa,LT,BOA,2909901,bonalea,CM-LT-Bonalea,,"{""area_sr"": 0.04575, ""area_km2"": 562, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2139, ""elongation_factor"": 1.02}"
3831364,120,50408,Dibamba,LT,DBA,5272208,dibamba,CM-LT-Dibamba,,"{""area_sr"": 0.06893, ""area_km2"": 846, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.1, ""side_estim_deg"": 0.2625, ""elongation_factor"": 1.58}"
3834259,120,50203,Dibombari,LT,DBI,3026494,dibombari,CM-LT-Dibombari,,"{""area_sr"": 0.03488, ""area_km2"": 428, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.7, ""side_estim_deg"": 0.1868, ""elongation_factor"": 2.56}"
3831363,120,50405,Dizangué,LT,DIZ,5285065,dizangue,CM-LT-Dizangue,,"{""area_sr"": 0.08, ""area_km2"": 983, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.2828, ""elongation_factor"": 1.69}"
3070352,120,50101,"Douala 1",LT,DL1,,douala.1,CM-LT-Douala1,,"{""area_sr"": 0.0026, ""area_km2"": 32, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 5.6, ""side_estim_deg"": 0.051, ""elongation_factor"": 2.1}"
3070353,120,50102,"Douala 2",LT,DL2,,douala.2,CM-LT-Douala2,,"{""area_sr"": 0.00134, ""area_km2"": 16, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 4.1, ""side_estim_deg"": 0.0366, ""elongation_factor"": 1.91}"
3832061,120,50103,"Douala 3",LT,DL3,,douala.3,CM-LT-Douala3,,"{""area_sr"": 0.01359, ""area_km2"": 167, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1166, ""elongation_factor"": 1.9}"
3832062,120,50104,"Douala 4",LT,DL4,,douala.4,CM-LT-Douala4,,"{""area_sr"": 0.01659, ""area_km2"": 204, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.3, ""side_estim_deg"": 0.1288, ""elongation_factor"": 2.5}"
3070384,120,50105,"Douala 5",LT,DL5,,douala.5,CM-LT-Douala5,,"{""area_sr"": 0.01313, ""area_km2"": 161, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.7, ""side_estim_deg"": 0.1146, ""elongation_factor"": 1.58}"
3831995,120,50106,"Douala 6",LT,DL6,,douala.6,CM-LT-Douala6,,"{""area_sr"": 0.03212, ""area_km2"": 394, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.9, ""side_estim_deg"": 0.1792, ""elongation_factor"": 3.58}"
3834270,120,50208,Ebone,LT,EBO,,ebone,CM-LT-Ebone,,"{""area_sr"": 0.03212, ""area_km2"": 394, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.8, ""side_estim_deg"": 0.1792, ""elongation_factor"": 1.77}"
3834260,120,50206,Loum,LT,LOU,1828275,loum,CM-LT-Loum,,"{""area_sr"": 0.02309, ""area_km2"": 283, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.8, ""side_estim_deg"": 0.152, ""elongation_factor"": 2.39}"
3834269,120,50204,Manjo,LT,MJO,3285999,manjo,CM-LT-Manjo,,"{""area_sr"": 0.02716, ""area_km2"": 333, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.3, ""side_estim_deg"": 0.1648, ""elongation_factor"": 2.12}"
3830924,120,50410,Massok,LT,MAS,,massok,CM-LT-Massok,,"{""area_sr"": 0.04708, ""area_km2"": 578, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24, ""side_estim_deg"": 0.217, ""elongation_factor"": 1.8}"
3834261,120,50202,Mbanga,LT,MBA,3303483,mbanga,CM-LT-Mbanga,,"{""area_sr"": 0.03693, ""area_km2"": 453, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.3, ""side_estim_deg"": 0.1922, ""elongation_factor"": 2.49}"
3834262,120,50213,Mombo,LT,MBO,2409032,mombo,CM-LT-Mombo,,"{""area_sr"": 0.00958, ""area_km2"": 118, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.8, ""side_estim_deg"": 0.0979, ""elongation_factor"": 1.1}"
3831370,120,50406,Mouanko,LT,MUO,6918844,mouanko,CM-LT-Mouanko,,"{""area_sr"": 0.10445, ""area_km2"": 1283, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 35.8, ""side_estim_deg"": 0.3232, ""elongation_factor"": 2.56}"
3834328,120,50205,Mélong,LT,MEL,3305268,melong,CM-LT-Melong,,"{""area_sr"": 0.04772, ""area_km2"": 585, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.2, ""side_estim_deg"": 0.2184, ""elongation_factor"": 2.25}"
3834177,120,50394,Ndobian,LT,NDO,,ndobian,CM-LT-Ndobian,,"{""area_sr"": 0.04121, ""area_km2"": 505, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 22.5, ""side_estim_deg"": 0.203, ""elongation_factor"": 2.16}"
3830892,120,50404,Ndom,LT,NOM,12698776,ndom,CM-LT-Ndom,,"{""area_sr"": 0.05453, ""area_km2"": 669, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.9, ""side_estim_deg"": 0.2335, ""elongation_factor"": 1.76}"
3830935,120,50402,Ngambé,LT,NGA,,ngambe,CM-LT-Ngambe,,"{""area_sr"": 0.07647, ""area_km2"": 939, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 30.6, ""side_estim_deg"": 0.2765, ""elongation_factor"": 1.6}"
3830950,120,50409,Ngwei,LT,NGW,7023174,ngwei,CM-LT-Ngwei,,"{""area_sr"": 0.07118, ""area_km2"": 874, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.6, ""side_estim_deg"": 0.2668, ""elongation_factor"": 2.26}"
3834178,120,50304,Nkondjock,LT,NCK,3342357,nkondjock,CM-LT-Nkondjock,,"{""area_sr"": 0.07881, ""area_km2"": 967, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.1, ""side_estim_deg"": 0.2807, ""elongation_factor"": 1.97}"
