osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3764955,120,70110,Baschéo,NO,BAC,,bascheo,CM-NO-Bascheo,,"{""area_sr"": 0.08648, ""area_km2"": 1049, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 32.4, ""side_estim_deg"": 0.2941, ""elongation_factor"": 2.03}"
3765022,120,70102,Bibemi,NO,BBI,,bibemi,CM-NO-Bibemi,,"{""area_sr"": 0.21108, ""area_km2"": 2565, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 50.6, ""side_estim_deg"": 0.4594, ""elongation_factor"": 2.15}"
3765262,120,70392,Béka,NO,BEK,,beka,CM-NO-Beka,,"{""area_sr"": 0.13575, ""area_km2"": 1653, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 40.7, ""side_estim_deg"": 0.3684, ""elongation_factor"": 3.92}"
3764995,120,70105,Dembo,NO,DBO,12685605,dembo,CM-NO-Dembo,,"{""area_sr"": 0.04965, ""area_km2"": 603, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 24.5, ""side_estim_deg"": 0.2228, ""elongation_factor"": 1.85}"
3753502,120,70293,Figuil,NO,FIG,5447990,figuil,CM-NO-Figuil,,"{""area_sr"": 0.07306, ""area_km2"": 886, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 29.8, ""side_estim_deg"": 0.2703, ""elongation_factor"": 2.06}"
3765077,120,70111,Gachiga,NO,GAC,,gachiga,CM-NO-Gachiga,,"{""area_sr"": 0.04664, ""area_km2"": 566, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 23.8, ""side_estim_deg"": 0.216, ""elongation_factor"": 1.66}"
3765092,120,70101,"Garoua 1",NO,GA1,,garoua.1,CM-NO-Garoua1,,"{""area_sr"": 0.0074, ""area_km2"": 90, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 9.5, ""side_estim_deg"": 0.086, ""elongation_factor"": 1.88}"
3765093,120,70107,"Garoua 2",NO,GA2,,garoua.2,CM-NO-Garoua2,,"{""area_sr"": 0.00613, ""area_km2"": 74, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 8.6, ""side_estim_deg"": 0.0783, ""elongation_factor"": 1.59}"
3765178,120,70108,"Garoua 3",NO,GA3,,garoua.3,CM-NO-Garoua3,,"{""area_sr"": 0.02142, ""area_km2"": 260, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 16.1, ""side_estim_deg"": 0.1463, ""elongation_factor"": 1.33}"
3753517,120,70201,Guider,NO,GER,2708439,guider,CM-NO-Guider,,"{""area_sr"": 0.1604, ""area_km2"": 1946, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 44.1, ""side_estim_deg"": 0.4005, ""elongation_factor"": 2.18}"
3765046,120,70104,Lagdo,NO,LAG,6471958,lagdo,CM-NO-Lagdo,,"{""area_sr"": 0.18338, ""area_km2"": 2232, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 47.2, ""side_estim_deg"": 0.4282, ""elongation_factor"": 2.12}"
3765709,120,70404,Madingring,NO,MAD,6748085,madingring,CM-NO-Madingring,,"{""area_sr"": 0.25273, ""area_km2"": 3080, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 55.5, ""side_estim_deg"": 0.5027, ""elongation_factor"": 1.33}"
3765070,120,70109,Mayo-Hourna,NO,MYH,,mayo.hourna,CM-NO-MayoHourna,,"{""area_sr"": 0.0787, ""area_km2"": 956, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 30.9, ""side_estim_deg"": 0.2805, ""elongation_factor"": 1.81}"
3753556,120,70203,Mayo-Oulo,NO,MOL,,mayo.oulo,CM-NO-MayoOulo,,"{""area_sr"": 0.11502, ""area_km2"": 1395, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 37.3, ""side_estim_deg"": 0.3392, ""elongation_factor"": 2.82}"
3765056,120,70106,Ngong,NO,NGN,,ngong,CM-NO-Ngong,,"{""area_sr"": 0.21655, ""area_km2"": 2634, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 51.3, ""side_estim_deg"": 0.4653, ""elongation_factor"": 1.31}"
3765004,120,70103,Pitoa,NO,PIT,11818718,pitoa,CM-NO-Pitoa,,"{""area_sr"": 0.12669, ""area_km2"": 1539, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 39.2, ""side_estim_deg"": 0.3559, ""elongation_factor"": 1.47}"
3765280,120,70301,Poli,NO,POL,1987664,poli,CM-NO-Poli,,"{""area_sr"": 0.824, ""area_km2"": 10042, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 100.2, ""side_estim_deg"": 0.9077, ""elongation_factor"": 2}"
3765369,120,70402,Rey-Bouba,NO,RBA,,rey.bouba,CM-NO-ReyBouba,,"{""area_sr"": 0.72394, ""area_km2"": 8809, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 93.9, ""side_estim_deg"": 0.8508, ""elongation_factor"": 1.88}"
3765762,120,70401,Tcholliré,NO,TRL,549251,tchollire,CM-NO-Tchollire,,"{""area_sr"": 1.19838, ""area_km2"": 14610, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 120.9, ""side_estim_deg"": 1.0947, ""elongation_factor"": 2.27}"
3765741,120,70403,Touboro,NO,TRO,7828536,touboro,CM-NO-Touboro,,"{""area_sr"": 0.8247, ""area_km2"": 10064, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 100.3, ""side_estim_deg"": 0.9081, ""elongation_factor"": 1.51}"
3765066,120,70112,Touroua,NO,TUA,7829367,touroua,CM-NO-Touroua,,"{""area_sr"": 0.09036, ""area_km2"": 1099, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 33.1, ""side_estim_deg"": 0.3006, ""elongation_factor"": 1.97}"
