osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3838119,120,60303,Ako,NW,AKO,4701477,ako,CM-NW-Ako,,"{""area_sr"": 0.09005, ""area_km2"": 1101, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 33.2, ""side_estim_deg"": 0.3001, ""elongation_factor"": 1.91}"
3837947,120,60404,Andek,NW,AND,,andek,CM-NW-Andek,,"{""area_sr"": 0.01809, ""area_km2"": 222, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.9, ""side_estim_deg"": 0.1345, ""elongation_factor"": 1.5}"
3837787,120,60702,Babessi,NW,BAS,4837801,babessi,CM-NW-Babessi,,"{""area_sr"": 0.03033, ""area_km2"": 371, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.3, ""side_estim_deg"": 0.1741, ""elongation_factor"": 2.36}"
3837923,120,60104,Bafut,NW,BFT,4841354,bafut,CM-NW-Bafut,,"{""area_sr"": 0.0397, ""area_km2"": 486, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 22, ""side_estim_deg"": 0.1993, ""elongation_factor"": 2.27}"
3837903,120,60102,Bali,NW,BLI,4850827,bali,CM-NW-Bali,,"{""area_sr"": 0.00909, ""area_km2"": 111, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.6, ""side_estim_deg"": 0.0953, ""elongation_factor"": 1.56}"
3837752,120,60703,Balikumbat,NW,BLK,4850904,balikumbat,CM-NW-Balikumbat,,"{""area_sr"": 0.02753, ""area_km2"": 337, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.4, ""side_estim_deg"": 0.1659, ""elongation_factor"": 1.75}"
3837911,120,60101,"Bamenda 1",NW,BM1,,bamenda.1,CM-NW-Bamenda1,,"{""area_sr"": 0.00714, ""area_km2"": 87, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 9.4, ""side_estim_deg"": 0.0845, ""elongation_factor"": 1.61}"
3837913,120,60106,"Bamenda 2",NW,BM2,,bamenda.2,CM-NW-Bamenda2,,"{""area_sr"": 0.01411, ""area_km2"": 173, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.1, ""side_estim_deg"": 0.1188, ""elongation_factor"": 1.43}"
3837914,120,60107,"Bamenda 3",NW,BM3,,bamenda.3,CM-NW-Bamenda3,,"{""area_sr"": 0.00569, ""area_km2"": 70, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 8.3, ""side_estim_deg"": 0.0754, ""elongation_factor"": 0.94}"
3837945,120,60402,Batibo,NW,BAO,4869256,batibo,CM-NW-Batibo,,"{""area_sr"": 0.0284, ""area_km2"": 348, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.6, ""side_estim_deg"": 0.1685, ""elongation_factor"": 1.61}"
