osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3837643,120,80204,Babadjou,OU,BAB,2877751,babadjou,CM-OU-Babadjou,,"{""area_sr"": 0.01607, ""area_km2"": 197, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14, ""side_estim_deg"": 0.1268, ""elongation_factor"": 1.08}"
3837572,120,80401,Bafang,OU,BFG,667828,bafang,CM-OU-Bafang,,"{""area_sr"": 0.00872, ""area_km2"": 107, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.3, ""side_estim_deg"": 0.0934, ""elongation_factor"": 1.7}"
6312407,120,80101,"Bafoussam 1",OU,BA1,,bafoussam.1,CM-OU-Bafoussam1,,"{""area_sr"": 0.0115, ""area_km2"": 141, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.9, ""side_estim_deg"": 0.1072, ""elongation_factor"": 2.12}"
3837420,120,80102,"Bafoussam 2",OU,BA2,,bafoussam.2,CM-OU-Bafoussam2,,"{""area_sr"": 0.01457, ""area_km2"": 178, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.4, ""side_estim_deg"": 0.1207, ""elongation_factor"": 2.05}"
3837421,120,80103,"Bafoussam 3",OU,BA3,,bafoussam.3,CM-OU-Bafoussam3,,"{""area_sr"": 0.00741, ""area_km2"": 91, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 9.5, ""side_estim_deg"": 0.0861, ""elongation_factor"": 1.67}"
3837527,120,80801,Baham,OU,BAH,1988066,baham,CM-OU-Baham,,"{""area_sr"": 0.0062, ""area_km2"": 76, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 8.7, ""side_estim_deg"": 0.0788, ""elongation_factor"": 1.07}"
3837573,120,80407,Bakou,OU,BAK,2880315,bakou,CM-OU-Bakou,,"{""area_sr"": 0.01441, ""area_km2"": 177, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1201, ""elongation_factor"": 1.75}"
3837509,120,80891,Bamendjou,OU,BAJ,2881815,bamendjou,CM-OU-Bamendjou,,"{""area_sr"": 0.01056, ""area_km2"": 129, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.4, ""side_estim_deg"": 0.1028, ""elongation_factor"": 1.93}"
3837547,120,80402,Bana,OU,BAN,2881848,bana,CM-OU-Bana,,"{""area_sr"": 0.00932, ""area_km2"": 114, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.7, ""side_estim_deg"": 0.0965, ""elongation_factor"": 1.77}"
3837548,120,80403,Bandja,OU,BJA,2882356,bandja,CM-OU-Bandja,,"{""area_sr"": 0.01741, ""area_km2"": 213, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.6, ""side_estim_deg"": 0.132, ""elongation_factor"": 2.34}"
3837209,120,80601,Bangangté,OU,BAE,2449186,bangangte,CM-OU-Bangangte,,"{""area_sr"": 0.06751, ""area_km2"": 828, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 28.8, ""side_estim_deg"": 0.2598, ""elongation_factor"": 3.06}"
3837528,120,80803,Bangou,OU,BAG,2882492,bangou,CM-OU-Bangou,,"{""area_sr"": 0.01271, ""area_km2"": 156, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.5, ""side_estim_deg"": 0.1127, ""elongation_factor"": 1.75}"
3837383,120,80307,Bangourain,OU,BAR,2882495,bangourain,CM-OU-Bangourain,,"{""area_sr"": 0.03223, ""area_km2"": 395, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.9, ""side_estim_deg"": 0.1795, ""elongation_factor"": 1.91}"
3837574,120,80405,Banka,OU,BNK,4856230,banka,CM-OU-Banka,,"{""area_sr"": 0.00986, ""area_km2"": 121, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11, ""side_estim_deg"": 0.0993, ""elongation_factor"": 1.62}"
3837575,120,80406,Banwa,OU,BWA,2883555,banwa,CM-OU-Banwa,,"{""area_sr"": 0.00878, ""area_km2"": 108, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.4, ""side_estim_deg"": 0.0937, ""elongation_factor"": 1.45}"
