osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
16561171,120,100304,"Akom II",SU,AK2,,akom.ii,CM-SU-AkomIi,,"{""area_sr"": 0.15745, ""area_km2"": 1936, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 44, ""side_estim_deg"": 0.3968, ""elongation_factor"": 1.77}"
3828426,120,100401,Ambam,SU,AMB,2841553,ambam,CM-SU-Ambam,,"{""area_sr"": 0.19935, ""area_km2"": 2452, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 49.5, ""side_estim_deg"": 0.4465, ""elongation_factor"": 1.83}"
3824018,120,100203,Bengbis,SU,BEN,4887722,bengbis,CM-SU-Bengbis,,"{""area_sr"": 0.18349, ""area_km2"": 2255, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 47.5, ""side_estim_deg"": 0.4284, ""elongation_factor"": 2.18}"
3828587,120,100397,Bipindi,SU,BNI,4915448,bipindi,CM-SU-Bipindi,,"{""area_sr"": 0.10738, ""area_km2"": 1320, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 36.3, ""side_estim_deg"": 0.3277, ""elongation_factor"": 2.18}"
3828238,120,100104,Biwong-Bané,SU,BWE,,biwong.bane,CM-SU-BiwongBane,,"{""area_sr"": 0.03748, ""area_km2"": 461, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.5, ""side_estim_deg"": 0.1936, ""elongation_factor"": 1.78}"
3828066,120,100106,Biwong-Bulu,SU,BGU,,biwong.bulu,CM-SU-BiwongBulu,,"{""area_sr"": 0.07952, ""area_km2"": 978, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.282, ""elongation_factor"": 1.87}"
3070080,120,100302,Campo,SU,CAM,1100812,campo,CM-SU-Campo,,"{""area_sr"": 0.22479, ""area_km2"": 2765, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 52.6, ""side_estim_deg"": 0.4741, ""elongation_factor"": 1.93}"
3823822,120,100202,Djoum,SU,DJM,3033077,djoum,CM-SU-Djoum,,"{""area_sr"": 0.44264, ""area_km2"": 5443, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 73.8, ""side_estim_deg"": 0.6653, ""elongation_factor"": 1.96}"
3828187,120,100101,"Ebolowa 1",SU,EB1,,ebolowa.1,CM-SU-Ebolowa1,,"{""area_sr"": 0.05976, ""area_km2"": 735, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 27.1, ""side_estim_deg"": 0.2445, ""elongation_factor"": 2.46}"
3828111,120,100108,"Ebolowa 2",SU,EB2,,ebolowa.2,CM-SU-Ebolowa2,,"{""area_sr"": 0.16251, ""area_km2"": 1998, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 44.7, ""side_estim_deg"": 0.4031, ""elongation_factor"": 3.44}"
3828232,120,100107,Efoulan,SU,EFO,5347560,efoulan,CM-SU-Efoulan,,"{""area_sr"": 0.06967, ""area_km2"": 856, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.3, ""side_estim_deg"": 0.264, ""elongation_factor"": 1.96}"
3828841,120,100301,"Kribi 1",SU,KR1,,kribi.1,CM-SU-Kribi1,,"{""area_sr"": 0.01656, ""area_km2"": 204, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.3, ""side_estim_deg"": 0.1287, ""elongation_factor"": 3.44}"
3828842,120,100307,"Kribi 2",SU,KR2,,kribi.2,CM-SU-Kribi2,,"{""area_sr"": 0.00843, ""area_km2"": 104, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.2, ""side_estim_deg"": 0.0918, ""elongation_factor"": 2.48}"
3828427,120,100404,Kyé-Ossi,SU,KOS,,kye.ossi,CM-SU-KyeOssi,,"{""area_sr"": 0.02063, ""area_km2"": 254, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1436, ""elongation_factor"": 1.87}"
3828807,120,100308,Lokoundjé,SU,LOK,,lokoundje,CM-SU-Lokoundje,,"{""area_sr"": 0.1865, ""area_km2"": 2292, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 47.9, ""side_estim_deg"": 0.4319, ""elongation_factor"": 2.6}"
3828531,120,100303,Lolodorf,SU,LOL,324195,lolodorf,CM-SU-Lolodorf,,"{""area_sr"": 0.07848, ""area_km2"": 964, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.1, ""side_estim_deg"": 0.2801, ""elongation_factor"": 1.29}"
16561031,120,100402,Ma'an,SU,MAA,3273390,maan,CM-SU-Maan,,"{""area_sr"": 0.32748, ""area_km2"": 4027, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 63.5, ""side_estim_deg"": 0.5723, ""elongation_factor"": 1.82}"
3828114,120,100105,Mengong,SU,MGN,6817020,mengong,CM-SU-Mengong,,"{""area_sr"": 0.0721, ""area_km2"": 886, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.8, ""side_estim_deg"": 0.2685, ""elongation_factor"": 1.51}"
3824014,120,100205,Meyomessala,SU,MLA,6826540,meyomessala,CM-SU-Meyomessala,,"{""area_sr"": 0.17267, ""area_km2"": 2122, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 46.1, ""side_estim_deg"": 0.4155, ""elongation_factor"": 2}"
