osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3836990,120,90202,Akwaya,SW,AKW,4702015,akwaya,CM-SW-Akwaya,,"{""area_sr"": 0.30077, ""area_km2"": 3682, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 60.7, ""side_estim_deg"": 0.5484, ""elongation_factor"": 1.94}"
3837017,120,90303,Alou,SW,ALO,4734651,alou,CM-SW-Alou,,"{""area_sr"": 0.01247, ""area_km2"": 153, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.4, ""side_estim_deg"": 0.1117, ""elongation_factor"": 2.11}"
3836383,120,90503,Bamusso,SW,BAU,,bamusso,CM-SW-Bamusso,,"{""area_sr"": 0.05459, ""area_km2"": 670, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.9, ""side_estim_deg"": 0.2336, ""elongation_factor"": 2.27}"
3836152,120,90601,Bangem,SW,BGM,2446919,bangem,CM-SW-Bangem,,"{""area_sr"": 0.04665, ""area_km2"": 572, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.9, ""side_estim_deg"": 0.216, ""elongation_factor"": 2.39}"
3834929,120,90102,Buéa,SW,BUE,,buea,CM-SW-Buea,,"{""area_sr"": 0.04338, ""area_km2"": 533, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.1, ""side_estim_deg"": 0.2083, ""elongation_factor"": 2.06}"
3836467,120,90508,Dikome-Balue,SW,DKE,,dikome.balue,CM-SW-DikomeBalue,,"{""area_sr"": 0.03299, ""area_km2"": 405, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.1, ""side_estim_deg"": 0.1816, ""elongation_factor"": 2.24}"
3836468,120,90502,Ekondo-Titi,SW,EKT,,ekondo.titi,CM-SW-EkondoTiti,,"{""area_sr"": 0.05733, ""area_km2"": 703, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 26.5, ""side_estim_deg"": 0.2394, ""elongation_factor"": 2.72}"
3836951,120,90203,Eyumodjock,SW,EYU,5423051,eyumodjock,CM-SW-Eyumodjock,,"{""area_sr"": 0.1118, ""area_km2"": 1370, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 37, ""side_estim_deg"": 0.3344, ""elongation_factor"": 2.41}"
3836337,120,90505,Idabato,SW,IDA,5987223,idabato,CM-SW-Idabato,,"{""area_sr"": 0.01076, ""area_km2"": 132, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1037, ""elongation_factor"": 2.59}"
3834962,120,90107,Idenau,SW,IDE,,idenau,CM-SW-Idenau,,"{""area_sr"": 0.02488, ""area_km2"": 305, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.5, ""side_estim_deg"": 0.1577, ""elongation_factor"": 1.8}"
3836299,120,90504,Isanguele,SW,ISA,,isanguele,CM-SW-Isanguele,,"{""area_sr"": 0.0302, ""area_km2"": 371, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1738, ""elongation_factor"": 2.1}"
3836338,120,90507,Kombo-Abedimo,SW,KAB,,kombo.abedimo,CM-SW-KomboAbedimo,,"{""area_sr"": 0.02175, ""area_km2"": 267, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.3, ""side_estim_deg"": 0.1475, ""elongation_factor"": 1.49}"
3836366,120,90506,Kombo-Itindi,SW,KET,,kombo.itindi,CM-SW-KomboItindi,,"{""area_sr"": 0.03396, ""area_km2"": 417, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.4, ""side_estim_deg"": 0.1843, ""elongation_factor"": 1.71}"
3836143,120,90403,Konye,SW,KYE,22680860,konye,CM-SW-Konye,,"{""area_sr"": 0.07965, ""area_km2"": 977, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.2822, ""elongation_factor"": 1.86}"
3835989,120,90401,"Kumba 1",SW,KU1,,kumba.1,CM-SW-Kumba1,,"{""area_sr"": 0.03536, ""area_km2"": 434, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.8, ""side_estim_deg"": 0.188, ""elongation_factor"": 1.86}"
3836118,120,90404,"Kumba 2",SW,KU2,,kumba.2,CM-SW-Kumba2,,"{""area_sr"": 0.01863, ""area_km2"": 229, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.1, ""side_estim_deg"": 0.1365, ""elongation_factor"": 1.49}"
3836109,120,90405,"Kumba 3",SW,KU3,,kumba.3,CM-SW-Kumba3,,"{""area_sr"": 0.03329, ""area_km2"": 408, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1824, ""elongation_factor"": 2.27}"
3834925,120,90101,"Limbé 1",SW,LE1,,limbe.1,CM-SW-Limbe1,,"{""area_sr"": 0.00635, ""area_km2"": 78, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 8.8, ""side_estim_deg"": 0.0797, ""elongation_factor"": 1.23}"
3834926,120,90105,"Limbé 2",SW,LE2,,limbe.2,CM-SW-Limbe2,,"{""area_sr"": 0.00475, ""area_km2"": 58, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 7.6, ""side_estim_deg"": 0.069, ""elongation_factor"": 2.33}"
3834917,120,90106,"Limbé 3",SW,LE3,,limbe.3,CM-SW-Limbe3,,"{""area_sr"": 0.0092, ""area_km2"": 113, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.6, ""side_estim_deg"": 0.0959, ""elongation_factor"": 2.72}"
3836952,120,90201,Mamfé,SW,MAM,1888230,mamfe,CM-SW-Mamfe,,"{""area_sr"": 0.2613, ""area_km2"": 3201, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 56.6, ""side_estim_deg"": 0.5112, ""elongation_factor"": 2.49}"
3835970,120,90402,Mbonge,SW,MGE,,mbonge,CM-SW-Mbonge,,"{""area_sr"": 0.06538, ""area_km2"": 802, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 28.3, ""side_estim_deg"": 0.2557, ""elongation_factor"": 2.39}"
3837018,120,90301,Menji,SW,MNJ,,menji,CM-SW-Menji,,"{""area_sr"": 0.01931, ""area_km2"": 237, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.4, ""side_estim_deg"": 0.139, ""elongation_factor"": 1.11}"
3836274,120,90501,Mudemba,SW,MUN,677694,mudemba,CM-SW-Mudemba,,"{""area_sr"": 0.15146, ""area_km2"": 1857, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 43.1, ""side_estim_deg"": 0.3892, ""elongation_factor"": 2.15}"
3834963,120,90104,Muyuka,SW,MUY,742871,muyuka,CM-SW-Muyuka,,"{""area_sr"": 0.03863, ""area_km2"": 474, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.8, ""side_estim_deg"": 0.1966, ""elongation_factor"": 1.96}"
3836184,120,90602,Nguti,SW,NTI,10600392,nguti,CM-SW-Nguti,,"{""area_sr"": 0.15142, ""area_km2"": 1856, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 43.1, ""side_estim_deg"": 0.3891, ""elongation_factor"": 2.32}"
3834906,120,90103,Tiko,SW,TIK,2228759,tiko,CM-SW-Tiko,,"{""area_sr"": 0.03836, ""area_km2"": 471, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.7, ""side_estim_deg"": 0.1959, ""elongation_factor"": 1.86}"
3836953,120,90204,Tinto,SW,TIN,,tinto,CM-SW-Tinto,,"{""area_sr"": 0.09937, ""area_km2"": 1217, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.9, ""side_estim_deg"": 0.3152, ""elongation_factor"": 1.66}"
